,year_make_model,price,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,url,VIN,make,model,year,generation
425,2011 SUBARU IMPREZA,10999.0,,,4wd,gas,52655,white,compact,clean,automatic,sedan,https://denver.craigslist.org/ctd/d/denver-2011-subaru-impreza-25i-awd-4dr/7590293515.html,JF1GE6A60BH518996,SUBARU,Impreza,2011,3.0
241,2009 honda crv ex-l awd,11299.0,excellent,4 cylinders,4wd,gas,120982,,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2009-honda-cr-ex-lnew-head-gskt/7590700226.html,5J6RE48709L066734,HONDA,CR-V,2009,3.0
108,2009 honda crv ex-l awd,11299.0,excellent,4 cylinders,4wd,gas,120982,,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2009-honda-cr-ex-awd-4x4-just/7590858278.html,5J6RE48709L066734,HONDA,CR-V,2009,3.0
45,2013 Ford Focus SE,7988.0,excellent,4 cylinders,,gas,100530,,,,automatic,hatchback,https://denver.craigslist.org/ctd/d/denver-2013-ford-focus-se-buy-here-pay/7590932738.html,1FADP3K27DL296769,FORD,Focus,2013,3.0
446,2006 TOYOTA RAV4,9999.0,,,fwd,gas,109680,blue,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2006-toyota-rav4-sport-4dr-suv/7590294457.html,JTMZD32VX65021388,TOYOTA,RAV4,2006,3.0
352,2013 Kia Rio LX,8000.0,good,4 cylinders,fwd,gas,71553,silver,,clean,automatic,sedan,https://denver.craigslist.org/ctd/d/denver-2013-kia-rio-lx-no-dealer/7590671807.html,KNADM4A39D6256949,KIA,Rio,2013,3.0
290,2005 dodge dakota slt,7995.0,good,8 cylinders,4wd,gas,150223,,,clean,automatic,pickup,https://denver.craigslist.org/ctd/d/englewood-2005-dodge-dakota-slt-v8-4x4/7590646222.html,1D7HW48N25S164599,DODGE,Dakota,2005,3.0
116,2010 subaru impreza 2.5i awd,6299.0,excellent,4 cylinders,4wd,gas,139951,,,clean,automatic,sedan,https://denver.craigslist.org/ctd/d/denver-2010-subaru-impreza-clean-carfax/7590860762.html,JF1GE6A61AH512056,SUBARU,Impreza,2010,3.0
243,2010 subaru impreza 2.5i awd,6299.0,excellent,4 cylinders,4wd,gas,139951,,,clean,automatic,sedan,https://denver.craigslist.org/ctd/d/denver-2010-subaru-impreza-25i-new-time/7590700260.html,JF1GE6A61AH512056,SUBARU,Impreza,2010,3.0
419,2018 AUDI RS3,56500.0,,,,gas,32481,red,sub-compact,clean,automatic,sedan,https://denver.craigslist.org/ctd/d/boise-2018-audi-rs-sedan-4d/7590289830.html,WUABWGFF0J1904361,AUDI,RS3,2018,3.0
308,2004 Ford Explorer Eddie Bauer,5995.0,,8 cylinders,4wd,gas,132628,red,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2004fordexplorereddie/7590646975.html,1FMZU74W84ZA27074,FORD,Explorer,2004,3.0
48,2010 Dodge Challenger,12988.0,,8 cylinders,rwd,gas,186031,,,clean,automatic,coupe,https://denver.craigslist.org/ctd/d/denver-2010-dodge-challenger-t/7590933491.html,2B3CJ5DT5AH246147,DODGE,Challenger,2010,3.0
456,2015 MINI Cooper,13995.0,excellent,3 cylinders,rwd,gas,92028,black,,clean,other,hatchback,https://denver.craigslist.org/ctd/d/englewood-2015-mini-cooper/7590296777.html,WMWXU3C56F2B61770,MINI,Hardtop,2015,3.0
350,2020 Toyota Tacoma Double Cab TRD,40990.0,excellent,6 cylinders,4wd,gas,49896,,,,automatic,other,https://denver.craigslist.org/ctd/d/denver-2020-toyota-tacoma-double-cab/7590670595.html,5TFCZ5AN9LX226334,TOYOTA,Tacoma,2020,3.0
458,2018 TOYOTA TACOMA,36500.0,excellent,6 cylinders,4wd,gas,41043,orange,,clean,manual,pickup,https://denver.craigslist.org/ctd/d/denver-2018-toyota-tacoma-double-cab/7590297693.html,5TFCZ5AN5JX152164,TOYOTA,Tacoma,2018,3.0
406,2013 ford escape se,8995.0,excellent,4 cylinders,4wd,gas,113223,,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/englewood-2013-ford-escape-awd-113k/7590279754.html,1FMCU9GX2DUA86236,FORD,Escape,2013,3.0
455,2022 MERCEDES-BENZ SPRINTER,84998.0,,,4wd,diesel,12,,,clean,automatic,van,https://denver.craigslist.org/ctd/d/boise-2022-mercedes-benz-sprinter-2500/7590296665.html,W1Y4EBVYXNT096248,MERCEDES-BENZ,Sprinter,2022,3.0
269,2006 subaru outback 2.5i,3995.0,excellent,4 cylinders,4wd,gas,213223,,,clean,automatic,wagon,https://denver.craigslist.org/ctd/d/englewood-2006-subaru-outback-25i-awd/7590642593.html,4S4BP61C067356783,SUBARU,Outback,2006,3.0
468,2022 MERCEDES-BENZ SPRINTER,119998.0,,,4wd,diesel,48,,,clean,automatic,van,https://denver.craigslist.org/ctd/d/boise-2022-mercedes-benz-sprinter-2500/7590303279.html,W1W4ECVY5NT082434,MERCEDES-BENZ,Sprinter,2022,3.0
435,2011 MERCEDES-BENZ C-CLASS,11999.0,,,,gas,107785,,compact,clean,automatic,sedan,https://denver.craigslist.org/ctd/d/denver-2011-mercedes-benz-class-300/7590293944.html,WDDGF8BB6BR141699,MERCEDES-BENZ,C-Class,2011,3.0
309,2012 mercedes benz c300,8995.0,excellent,6 cylinders,4wd,gas,137223,,,clean,automatic,sedan,https://denver.craigslist.org/ctd/d/englewood-2012-mercedes-c300-matic-awd/7590646974.html,WDDGF8BB1CR208789,MERCEDES-BENZ,C-Class,2012,3.5
89,2017 Toyota Sienna Wheelchair Van,43995.0,,6 cylinders,fwd,gas,37693,black,,clean,automatic,mini-van,https://denver.craigslist.org/ctd/d/laguna-woods-2017-toyota-sienna/7590854856.html,5TDZZ3DC2HS838834,TOYOTA,Sienna,2017,3.5
270,2010 Toyota RAV4 Limited V6 AWD -,18990.0,excellent,6 cylinders,4wd,gas,85890,,,,automatic,other,https://denver.craigslist.org/ctd/d/denver-2010-toyota-rav4-limited-v6-awd/7590642874.html,2T3DK4DV3AW035878,TOYOTA,RAV4,2010,3.5
432,2008 MERCEDES-BENZ E-CLASS,7999.0,,,,gas,141720,green,,clean,automatic,sedan,https://denver.craigslist.org/ctd/d/denver-2008-mercedes-benz-class-350/7590293826.html,WDBUF87X08B272998,MERCEDES-BENZ,E-Class,2008,3.5
13,2022 Chevrolet Equinox,27988.0,,4 cylinders,4wd,gas,7949,white,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2022-chevrolet-equinox-awdone/7590910405.html,2GNAX5EV1N6145829,CHEVROLET,Equinox,2022,3.5
94,2016 Toyota Sienna LE Wheelchair Van,39995.0,,6 cylinders,fwd,gas,61909,blue,,clean,automatic,mini-van,https://denver.craigslist.org/ctd/d/laguna-woods-2016-toyota-sienna-le/7590855894.html,5TDKK3DC8GS713468,TOYOTA,Sienna,2016,3.5
