year_make_model,price,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,url,VIN
1999 ford explorer xlt,3600,good,6 cylinders,4wd,gas,211000,white,full-size,clean,manual,SUV,https://denver.craigslist.org/cto/d/henderson-1999-ford-explorer-xls-4x4/7592015449.html,
2006 Ford350 diésel,11500,excellent,8 cylinders,rwd,diesel,255000,white,full-size,clean,automatic,truck,https://denver.craigslist.org/cto/d/aurora-ford-350-diesel/7592016223.html,
2007 mitsubishi galant,3300,good,4 cylinders,fwd,gas,206000,silver,mid-size,clean,automatic,sedan,https://denver.craigslist.org/cto/d/denver-2007-mitsubishi-galant/7592022583.html,
2012 Toyota Tacoma,18500,excellent,4 cylinders,4wd,gas,107469,brown,,clean,automatic,truck,https://denver.craigslist.org/cto/d/parker-2012-toyota-tacoma-regular-cab/7592023128.html,
2011 volvo xc70,1500,,,,gas,195000,,,clean,automatic,,https://denver.craigslist.org/cto/d/englewood-2011-volvo-xc70-awd-t6/7592023395.html,
2004 porsche boxster S convertible,30000,excellent,6 cylinders,rwd,gas,52329,silver,,clean,manual,convertible,https://denver.craigslist.org/cto/d/denver-2004-porsche-boxster-anniversary/7592023556.html,
2002 mercedes ml 320,3350,good,6 cylinders,4wd,gas,210000,blue,mid-size,clean,automatic,SUV,https://denver.craigslist.org/cto/d/aurora-2002-mercedes-ml320/7592025912.html,
2021 subaru crosstrek 2.0i limited,29000,like new,4 cylinders,4wd,gas,53000,blue,,clean,automatic,SUV,https://denver.craigslist.org/cto/d/denver-2021-subaru-crosstrek-limited/7592029165.html,
2015 Dodge Challenger R/T Shaker,44900,like new,8 cylinders,rwd,gas,21000,red,mid-size,clean,automatic,coupe,https://denver.craigslist.org/cto/d/aurora-dodge-challenger-rt-shaker/7592029538.html,
1998 1998 chevy 1500,3500,fair,8 cylinders,4wd,gas,238000,custom,full-size,clean,automatic,pickup,https://denver.craigslist.org/cto/d/kiowa-98-chevy-1500-extended-cab-4x4/7592030676.html,
2007 toyota camry le,3500,good,,,gas,190000,grey,,clean,automatic,,https://denver.craigslist.org/cto/d/dupont-2007-toyota-camry/7592032338.html,
2019 Ram Rebel 1500,46900,like new,8 cylinders,4wd,gas,42000,red,full-size,clean,automatic,truck,https://denver.craigslist.org/cto/d/aurora-2019-ram-rebel-1500-crew-cab/7592035044.html,
1994 ford f-150,3450,fair,6 cylinders,rwd,gas,235000,red,full-size,clean,manual,pickup,https://denver.craigslist.org/cto/d/brighton-1994-150/7592035424.html,
2003 saab 9-3,2000,good,,fwd,gas,190000,white,,clean,manual,,https://denver.craigslist.org/cto/d/brighton-2003-saab-3/7592036548.html,
2008 dodge avenger,5250,good,6 cylinders,fwd,gas,141000,,,clean,automatic,,https://denver.craigslist.org/cto/d/brighton-dodge-avenger/7592039175.html,
2017 subaru impreza,20500,like new,4 cylinders,4wd,gas,26350,white,compact,clean,automatic,wagon,https://denver.craigslist.org/cto/d/castle-rock-2017-subaru-impreza-only/7592039201.html,
2016 volkswagen gti,20000,excellent,4 cylinders,fwd,gas,47800,silver,compact,clean,automatic,hatchback,https://denver.craigslist.org/cto/d/littleton-2016-volkswagon-golf-gti/7592040181.html,3VW447AV0GM070599
2019 subaru outback,19250,excellent,,,gas,120000,,,clean,automatic,,https://denver.craigslist.org/cto/d/denver-2019-subaru-outback-25i-premium/7592041786.html,
1971 toyota land cruiser FJ55,7500,,8 cylinders,4wd,gas,500000,,,clean,manual,,https://denver.craigslist.org/cto/d/castle-rock-1971-toyota-landcruiser-fj55/7592044588.html,
2002 nissan xterra,3800,good,6 cylinders,4wd,gas,185000,green,,clean,automatic,,https://denver.craigslist.org/cto/d/aurora-2002-nissan-xterra/7592048359.html,
2008 toyota scion xd,3200,good,4 cylinders,fwd,gas,200000,white,mid-size,clean,automatic,hatchback,https://denver.craigslist.org/cto/d/aurora-2008-toyota-scion-xd/7592052274.html,
2012 SRT8,35900,excellent,8 cylinders,rwd,gas,57000,red,full-size,clean,automatic,sedan,https://denver.craigslist.org/cto/d/firestone-2012-chrysler-300-srt8/7592053047.html,
2006 chevrolet corvette convertible,29000,like new,8 cylinders,rwd,gas,18320,red,,clean,automatic,convertible,https://denver.craigslist.org/cto/d/dupont-2006-corvette-convertible/7592053351.html,
2014 gmc savana 3500,15500,good,8 cylinders,fwd,gas,257000,yellow,full-size,clean,automatic,truck,https://denver.craigslist.org/cto/d/denver-2014-gmc-savanna/7592053493.html,
